node_id,debate_ids,website,n_cycles,min_cycle_len,max_cycle_len
15453,[1224],"kl",22,9,15
15479,[1224],"kl",1,8,8
17356,[1224],"kl",17,13,15
17359,[1224],"kl",22,9,15
17360,[1224],"kl",1,15,15
17385,[1224],"kl",1,8,8
18380,[1224],"kl",13,13,15
18383,[1224],"kl",2,14,14
18393,[1224],"kl",3,14,15
18427,[1224],"kl",22,9,15
18439,[1224],"kl",4,11,15
18445,[1224],"kl",1,15,15
18599,[1224],"kl",1,8,8
19088,[1224],"kl",2,13,15
19089,[1224],"kl",10,13,15
19090,[1224],"kl",1,15,15
19096,[1224],"kl",1,15,15
19099,[1224],"kl",2,15,15
19119,[1224],"kl",1,14,14
19121,[1224],"kl",1,14,14
19175,[1224],"kl",3,14,15
19348,[1224],"kl",22,9,15
19415,[1224],"kl",4,11,15
19877,[1224],"kl",1,8,8
20202,[1224],"kl",16,13,15
20205,[1224],"kl",2,14,15
20215,[1224],"kl",3,14,15
20221,[1224],"kl",1,15,15
20241,[1224],"kl",1,15,15
20250,[1224],"kl",2,15,15
20344,[1224],"kl",2,14,14
20453,[1224],"kl",3,14,15
20789,[1224],"kl",22,9,15
21472,[1224],"kl",1,8,8
21722,[1224],"kl",1,15,15
21741,[1224],"kl",1,15,15
21742,[1224],"kl",1,15,15
21765,[1224],"kl",1,15,15
21792,[1224],"kl",1,15,15
21942,[1224],"kl",2,14,14
22406,[1224],"kl",2,12,14
22409,[1224],"kl",22,9,15
23009,[1224],"kl",1,8,8
23956,[1224],"kl",2,12,14
23978,[1224],"kl",22,9,15
24605,[1224],"kl",1,8,8
25519,[1224],"kl",2,12,14
25573,[1224],"kl",22,9,15
26271,[1224],"kl",1,8,8
27183,[1224],"kl",22,9,15
38854,[38745],"wd",1,2,2
39020,[38767],"wd",1,2,2
39145,[38745],"wd",1,2,2
39524,[38767],"wd",1,2,2